-19.040	1.464	-26.250	6.250	-29.659	5.452	52.558	-14.282	52.957	-14.544	16.684	11.352	
-19.040	1.464	-26.250	6.250	-29.067	5.284	47.647	-13.163	50.539	-14.080	16.709	11.354	
-19.040	1.508	-26.250	6.250	-28.747	5.202	63.932	-16.378	53.410	-14.630	16.721	11.355	
-18.994	1.517	-26.250	6.250	-28.100	5.034	46.052	-12.079	52.006	-13.665	16.744	11.357	
-18.880	1.564	-26.250	6.250	-27.457	4.867	64.112	-16.235	53.775	-13.950	16.766	11.359	
-18.747	1.587	-26.250	6.250	-26.892	4.719	65.155	-17.340	57.558	-15.013	16.787	11.360	
-18.560	1.664	-26.250	6.250	-26.317	4.572	57.187	-14.637	56.955	-14.721	16.807	11.362	
-18.400	1.664	-26.250	6.250	-25.602	4.395	46.837	-11.731	53.736	-13.493	16.826	11.363	
-18.240	1.764	-26.250	6.250	-25.278	4.314	54.022	-13.529	53.029	-13.273	16.835	11.364	
-18.240	1.764	-26.250	6.250	-24.575	4.146	77.125	-18.465	57.935	-14.193	16.852	11.365	
-12.800	2.864	-26.250	6.250	-23.936	3.998	58.597	-13.350	63.874	-15.035	16.869	11.366	
-12.800	2.864	-26.250	6.250	-23.374	3.876	49.720	-10.395	57.174	-12.867	16.884	11.367	
-12.675	3.021	-26.250	6.250	-23.103	3.817	54.333	-11.646	56.440	-12.423	16.892	11.368	
-12.510	3.093	-26.250	6.250	-22.557	3.706	53.979	-10.883	53.103	-11.023	16.906	11.369	
-12.310	3.150	-26.250	6.250	-21.734	3.533	45.838	-9.597	52.045	-10.858	16.926	11.371	
-12.253	3.175	-26.250	6.250	-21.438	3.471	49.363	-10.277	50.874	-10.694	16.932	11.371	
-12.152	3.207	-26.250	6.250	-20.892	3.354	49.108	-10.954	48.595	-10.291	16.945	11.372	
-12.067	3.220	-26.250	6.250	-20.395	3.238	51.280	-12.369	49.658	-11.105	16.956	11.373	
-11.968	3.232	-26.250	6.250	-19.921	3.132	47.982	-10.422	48.521	-11.068	16.967	11.374	
-11.891	3.238	-28.750	8.750	-19.464	3.023	46.079	-10.696	49.006	-11.289	16.977	11.375	
-11.821	3.249	-28.750	8.750	-19.025	2.917	43.663	-10.771	47.177	-11.337	16.987	11.375	
-11.755	3.256	-28.750	8.750	-18.576	2.803	46.805	-11.692	44.416	-11.033	16.997	11.376	
-11.680	3.264	-28.750	8.750	-18.095	2.670	36.908	-10.337	44.307	-11.778	17.006	11.377	
-11.638	3.279	-28.750	8.750	-17.585	2.517	32.727	-10.095	39.651	-11.448	17.014	11.377	
-11.520	3.264	-28.750	8.750	-17.376	2.452	34.775	-10.845	36.150	-10.773	17.018	11.378	
-11.570	3.245	-28.750	8.750	-16.997	2.330	37.583	-12.315	35.275	-11.084	17.026	11.378	
-11.542	3.231	-28.750	8.750	-16.616	2.206	35.426	-12.208	37.997	-12.283	17.033	11.379	
-11.555	3.221	-28.750	8.750	-16.218	2.071	36.131	-12.686	38.992	-12.949	17.040	11.379	
-11.520	3.264	-28.750	8.750	-15.767	1.926	42.426	-13.826	40.420	-13.327	17.046	11.379	
-11.520	3.264	-28.750	8.750	-15.426	1.817	35.019	-10.837	37.685	-12.137	17.053	11.380	
-11.520	3.264	-28.750	8.750	-15.006	1.691	27.235	-8.409	33.112	-10.213	17.059	11.380	
-2.495	0.257	-28.750	8.750	-14.829	1.642	35.426	-9.754	33.594	-9.928	17.061	11.380	
-3.000	0.664	-28.750	8.750	-14.454	1.535	31.484	-8.807	30.774	-8.919	17.067	11.381	
-3.027	0.705	-28.750	8.750	-14.270	1.486	30.669	-8.269	31.978	-8.927	17.069	11.381	
-3.027	0.705	-28.750	8.750	-13.890	1.380	33.634	-10.155	32.744	-9.070	17.074	11.381	
-3.027	0.705	-28.750	8.750	-13.523	1.273	34.741	-9.207	32.471	-9.235	17.079	11.381	
-6.600	9.864	-28.750	8.750	-12.650	1.029	53.327	-14.823	39.721	-11.090	17.087	11.382	
-6.606	9.823	-28.750	8.750	-12.491	0.979	31.688	-10.168	37.284	-10.971	17.089	11.382	
-3.548	2.872	-28.750	8.750	-12.182	0.870	31.083	-10.345	37.506	-11.816	17.093	11.382	
-3.105	3.707	-28.750	8.750	-11.880	0.761	30.064	-10.738	30.558	-10.872	17.096	11.382	
-3.283	3.283	-28.750	8.750	-11.582	0.645	28.768	-11.246	28.554	-10.704	17.100	11.382	
-3.394	3.059	-28.750	8.750	-11.267	0.522	20.958	-8.860	26.634	-10.400	17.103	11.383	
-3.564	2.536	-26.250	8.750	-10.909	0.381	24.307	-9.636	25.877	-10.183	17.105	11.383	
-3.600	2.364	-26.250	8.750	-10.771	0.319	17.253	-7.708	22.160	-9.136	17.107	11.383	
-3.600	2.264	-26.250	8.750	-10.499	0.219	29.030	-10.059	23.292	-9.214	17.109	11.383	
-3.600	2.164	-26.250	8.750	-10.263	0.131	25.866	-8.373	25.419	-9.386	17.112	11.383	
-3.576	2.140	-26.250	8.750	-10.143	0.087	24.090	-8.795	25.095	-9.080	17.113	11.383	
-3.500	-9.315	-26.250	8.750	-9.772	-0.042	21.733	-7.362	23.377	-8.241	17.116	11.383	
-3.490	-9.153	-26.250	8.750	-9.673	-0.082	19.899	-8.005	22.379	-8.053	17.117	11.383	
-3.443	-9.054	-26.250	8.750	-9.438	-0.157	22.763	-7.681	22.125	-7.597	17.119	11.383	
-3.405	-8.946	-26.250	8.750	-9.146	-0.246	27.625	-8.312	23.919	-7.453	17.121	11.383	
